timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/20 13:07:31.733, 0, P0, 0, 0, 0, 23034, 64, 32.01, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:31.839, 0, P0, 0, 0, 0, 23034, 64, 23.88, 72.00, 420, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:31.941, 0, P0, 0, 0, 0, 23034, 64, 23.88, 72.00, 420, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:32.043, 0, P0, 0, 0, 0, 23034, 64, 23.88, 72.00, 420, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:32.145, 0, P0, 0, 0, 0, 23034, 64, 23.88, 72.00, 420, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:32.247, 0, P0, 0, 0, 0, 23034, 64, 23.88, 72.00, 420, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:32.349, 0, P0, 0, 0, 0, 23034, 64, 23.88, 72.00, 420, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:32.451, 0, P0, 0, 0, 0, 23034, 64, 23.88, 72.00, 420, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:32.553, 0, P0, 0, 0, 0, 23034, 64, 23.88, 72.00, 420, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:32.655, 0, P0, 0, 0, 0, 23034, 64, 23.88, 72.00, 420, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:32.757, 0, P0, 0, 0, 0, 23034, 63, 23.88, 72.00, 420, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:32.859, 0, P0, 0, 0, 0, 23034, 63, 22.88, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:32.961, 0, P0, 0, 0, 0, 23034, 63, 22.88, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:33.063, 0, P0, 0, 0, 0, 23034, 63, 22.88, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:33.165, 0, P0, 0, 0, 0, 23034, 63, 22.88, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:33.267, 0, P0, 0, 0, 0, 23034, 63, 22.88, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:33.369, 0, P0, 0, 0, 0, 23034, 63, 22.88, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:33.471, 0, P0, 0, 0, 0, 23034, 63, 22.88, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:33.573, 0, P0, 0, 0, 0, 23034, 63, 22.88, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:33.675, 0, P0, 0, 0, 0, 23034, 63, 22.88, 72.00, 270, 6251, 2040, 0x0000000000000001
2026/09/20 13:07:33.777, 0, P0, 0, 0, 0, 23034, 63, 22.68, 72.00, 210, 6251, 2040, 0x0000000000000001
