timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/20 12:56:02.271, 0, P0, 0, 0, 0, 23034, 57, 23.21, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:02.377, 0, P0, 0, 0, 0, 23034, 57, 23.21, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:02.479, 0, P0, 0, 0, 0, 23034, 57, 23.21, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:02.581, 0, P0, 0, 0, 0, 23034, 57, 23.21, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:02.683, 0, P0, 0, 0, 0, 23034, 57, 23.21, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:02.785, 0, P0, 0, 0, 0, 23034, 57, 23.21, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:02.887, 0, P0, 0, 0, 0, 23034, 57, 23.21, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:02.989, 0, P0, 0, 0, 0, 23034, 57, 23.21, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:03.091, 0, P0, 0, 0, 0, 23034, 57, 23.21, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:03.193, 0, P0, 0, 0, 0, 23034, 57, 22.23, 72.00, 450, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:03.295, 0, P0, 0, 0, 0, 23034, 57, 22.23, 72.00, 285, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:03.397, 0, P0, 0, 0, 0, 23034, 57, 22.23, 72.00, 285, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:03.500, 0, P0, 0, 0, 0, 23034, 57, 22.23, 72.00, 285, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:03.602, 0, P0, 0, 0, 0, 23034, 57, 22.23, 72.00, 285, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:03.704, 0, P0, 0, 0, 0, 23034, 57, 22.23, 72.00, 285, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:03.806, 0, P0, 0, 0, 0, 23034, 57, 22.23, 72.00, 285, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:03.908, 0, P0, 0, 0, 0, 23034, 57, 22.23, 72.00, 285, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:04.010, 0, P0, 0, 0, 0, 23034, 57, 22.23, 72.00, 285, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:04.112, 0, P0, 0, 0, 0, 23034, 57, 22.23, 72.00, 285, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:04.214, 0, P0, 0, 0, 0, 23034, 57, 21.94, 72.00, 285, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:04.316, 0, P0, 0, 0, 0, 23034, 57, 21.94, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:04.418, 0, P0, 0, 0, 0, 23034, 57, 21.94, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:04.521, 0, P0, 0, 0, 0, 23034, 57, 21.94, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:56:04.623, 0, P0, 0, 0, 0, 23034, 57, 21.94, 72.00, 210, 6251, 2040, 0x0000000000000001
