timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/20 12:54:38.265, 0, P0, 0, 0, 0, 23034, 51, 30.80, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:38.374, 0, P0, 2, 0, 0, 23034, 51, 30.80, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:38.476, 0, P0, 2, 0, 0, 23034, 51, 28.62, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:38.579, 0, P0, 0, 0, 0, 23034, 51, 28.91, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:38.680, 0, P0, 0, 0, 0, 23034, 51, 28.98, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:38.781, 0, P0, 0, 0, 0, 23034, 50, 28.99, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:38.883, 0, P0, 0, 0, 0, 23034, 50, 29.01, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:38.985, 0, P0, 0, 0, 0, 23034, 50, 29.01, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:39.087, 0, P0, 0, 0, 0, 23034, 50, 29.05, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:39.188, 0, P0, 0, 0, 0, 23034, 50, 29.10, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:39.290, 0, P0, 0, 0, 0, 23034, 51, 29.11, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:39.392, 0, P0, 0, 0, 0, 23034, 51, 29.10, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:39.493, 0, P0, 0, 0, 0, 23034, 51, 29.14, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:39.595, 0, P0, 0, 0, 0, 23034, 51, 29.14, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:39.696, 0, P0, 0, 0, 0, 23034, 51, 29.13, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:39.797, 0, P0, 0, 0, 0, 23034, 51, 29.15, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:39.899, 0, P0, 0, 0, 0, 23034, 51, 29.14, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:40.000, 0, P0, 0, 0, 0, 23034, 51, 29.15, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:40.101, 0, P0, 0, 0, 0, 23034, 51, 29.15, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:40.203, 0, P0, 0, 0, 0, 23034, 51, 29.12, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:40.304, 0, P0, 0, 0, 0, 23034, 51, 29.09, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:40.405, 0, P0, 0, 0, 0, 23034, 51, 29.08, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:40.507, 0, P0, 0, 0, 0, 23034, 51, 29.08, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:40.608, 0, P0, 0, 0, 0, 23034, 51, 29.08, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:40.710, 0, P0, 0, 0, 0, 23034, 51, 29.07, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:40.811, 0, P0, 0, 0, 3, 23034, 51, 29.32, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:40.913, 0, P0, 0, 0, 3, 23034, 51, 29.28, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:41.014, 0, P0, 0, 0, 3, 23034, 51, 29.28, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:41.116, 0, P0, 0, 0, 3, 23034, 51, 29.29, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:41.217, 0, P0, 0, 0, 3, 23034, 51, 29.28, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:41.318, 0, P0, 0, 0, 3, 23034, 51, 29.30, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:41.420, 0, P0, 0, 0, 3, 23034, 51, 29.30, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:41.521, 0, P0, 0, 0, 3, 23034, 51, 29.30, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 12:54:41.623, 0, P0, 0, 0, 3, 23034, 51, 29.32, 72.00, 2040, 6251, 2040, 0x0000000000000001
