timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/20 12:55:43.790, 0, P0, 0, 0, 0, 23034, 56, 22.74, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:43.897, 0, P0, 0, 0, 0, 23034, 56, 22.74, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:43.999, 0, P0, 0, 0, 0, 23034, 56, 22.74, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:44.101, 0, P0, 0, 0, 0, 23034, 56, 22.74, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:44.203, 0, P0, 0, 0, 0, 23034, 56, 22.74, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:44.305, 0, P0, 0, 0, 0, 23034, 56, 22.74, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:44.407, 0, P0, 0, 0, 0, 23034, 56, 22.74, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:44.509, 0, P0, 0, 0, 0, 23034, 56, 22.74, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:44.611, 0, P0, 0, 0, 0, 23034, 56, 22.74, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:44.713, 0, P0, 0, 0, 0, 23034, 56, 22.74, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:44.815, 0, P0, 0, 0, 0, 23034, 56, 21.93, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:44.917, 0, P0, 0, 0, 0, 23034, 56, 21.93, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:45.019, 0, P0, 0, 0, 0, 23034, 56, 21.93, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:45.121, 0, P0, 0, 0, 0, 23034, 56, 21.93, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:45.223, 0, P0, 0, 0, 0, 23034, 56, 21.93, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:45.325, 0, P0, 0, 0, 0, 23034, 56, 21.93, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:45.427, 0, P0, 0, 0, 0, 23034, 56, 21.93, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:45.530, 0, P0, 0, 0, 0, 23034, 56, 21.93, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:45.632, 0, P0, 0, 0, 0, 23034, 56, 21.93, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:45.734, 0, P0, 0, 0, 0, 23034, 56, 21.93, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:45.836, 0, P0, 0, 0, 0, 23034, 56, 21.84, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:45.938, 0, P0, 0, 0, 0, 23034, 56, 21.84, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:46.041, 0, P0, 0, 0, 0, 23034, 56, 21.84, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:46.144, 0, P8, 0, 0, 0, 23034, 56, 21.84, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:46.246, 0, P8, 0, 0, 0, 23034, 56, 21.84, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:46.348, 0, P8, 0, 0, 0, 23034, 56, 21.84, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:46.451, 0, P8, 0, 0, 0, 23034, 56, 21.84, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:46.553, 0, P8, 0, 0, 0, 23034, 56, 21.84, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:46.655, 0, P8, 0, 0, 0, 23034, 56, 21.84, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 12:55:46.758, 0, P8, 0, 0, 0, 23034, 55, 14.25, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:46.860, 0, P8, 0, 0, 0, 23034, 55, 14.25, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:46.962, 0, P8, 0, 0, 0, 23034, 55, 14.25, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:47.065, 0, P8, 0, 0, 0, 23034, 55, 14.25, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:47.167, 0, P8, 0, 0, 0, 23034, 55, 14.25, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:47.269, 0, P8, 0, 0, 0, 23034, 55, 14.25, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:47.372, 0, P8, 0, 0, 0, 23034, 55, 14.25, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:47.474, 0, P8, 0, 0, 0, 23034, 55, 14.25, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:47.576, 0, P8, 0, 0, 0, 23034, 55, 14.25, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:47.679, 0, P8, 0, 0, 0, 23034, 55, 14.25, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:47.781, 0, P8, 0, 0, 1, 23034, 55, 14.30, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:47.938, 0, P8, 0, 0, 3, 23034, 55, 14.30, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:48.040, 0, P8, 0, 0, 3, 23034, 55, 14.71, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:48.143, 0, P8, 0, 0, 3, 23034, 55, 14.73, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:48.245, 0, P8, 0, 0, 3, 23034, 55, 14.70, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:48.348, 0, P8, 0, 0, 3, 23034, 55, 14.66, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:48.450, 0, P8, 0, 0, 3, 23034, 55, 14.65, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:48.552, 0, P8, 0, 0, 3, 23034, 55, 14.65, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:48.655, 0, P8, 0, 0, 3, 23034, 55, 14.64, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:48.757, 0, P8, 0, 0, 3, 23034, 55, 14.90, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:48.859, 0, P8, 0, 0, 3, 23034, 55, 14.87, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:48.961, 0, P8, 0, 0, 3, 23034, 55, 14.87, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:49.066, 0, P8, 0, 0, 3, 23034, 55, 14.87, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:49.171, 0, P8, 0, 0, 3, 23034, 55, 14.87, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:49.276, 0, P8, 0, 0, 3, 23034, 55, 14.87, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:49.380, 0, P8, 0, 0, 3, 23034, 55, 14.87, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:49.485, 0, P8, 0, 0, 3, 23034, 55, 14.87, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:49.590, 0, P8, 0, 0, 3, 23034, 55, 14.87, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:49.695, 0, P8, 0, 0, 3, 23034, 55, 14.87, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:49.799, 0, P8, 0, 0, 3, 23034, 55, 14.87, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:49.904, 0, P8, 0, 0, 3, 23034, 54, 14.05, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:50.009, 0, P8, 0, 0, 3, 23034, 54, 14.05, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:50.114, 0, P8, 0, 0, 3, 23034, 54, 14.05, 72.00, 210, 405, 2040, 0x0000000000000001
2026/09/20 12:55:50.219, 0, P0, 0, 0, 24, 23034, 54, 16.40, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:50.320, 0, P0, 0, 0, 318, 23034, 55, 17.35, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:50.422, 0, P0, 12, 1, 350, 23034, 55, 18.31, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:50.523, 0, P0, 12, 1, 370, 23034, 55, 19.05, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:50.624, 0, P0, 1, 0, 404, 23034, 56, 19.85, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:50.726, 0, P0, 1, 0, 404, 23034, 56, 20.42, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:50.828, 0, P0, 56, 15, 404, 23034, 57, 22.53, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:50.930, 0, P0, 56, 15, 404, 23034, 58, 24.35, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:51.032, 0, P0, 57, 15, 404, 23034, 58, 37.01, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:51.133, 0, P0, 57, 15, 404, 23034, 59, 38.79, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:51.235, 0, P0, 57, 15, 404, 23034, 59, 40.43, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:51.337, 0, P0, 57, 15, 404, 23034, 59, 46.77, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:51.439, 0, P0, 57, 15, 404, 23034, 59, 49.27, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:51.541, 0, P0, 57, 15, 404, 23034, 59, 51.76, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:51.642, 0, P0, 57, 15, 404, 23034, 59, 54.49, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:51.744, 0, P0, 57, 15, 404, 23034, 59, 56.81, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:51.846, 0, P0, 57, 15, 404, 23034, 59, 59.43, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:51.951, 0, P0, 57, 15, 404, 23034, 59, 59.34, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:52.052, 0, P0, 57, 15, 404, 23034, 59, 59.34, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:52.154, 0, P0, 57, 15, 404, 23034, 59, 59.31, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:52.256, 0, P0, 57, 15, 404, 23034, 59, 59.40, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:52.358, 0, P0, 57, 15, 404, 23034, 59, 59.41, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:52.459, 0, P0, 57, 15, 404, 23034, 60, 59.38, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:52.561, 0, P0, 57, 15, 404, 23034, 60, 59.39, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:52.663, 0, P0, 57, 15, 404, 23034, 60, 59.31, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:52.764, 0, P0, 57, 15, 404, 23034, 60, 59.53, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:52.867, 0, P0, 57, 15, 404, 23034, 60, 59.67, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:52.969, 0, P0, 57, 15, 404, 23034, 60, 59.80, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:53.070, 0, P0, 57, 15, 404, 23034, 60, 59.75, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:53.172, 0, P0, 57, 15, 404, 23034, 60, 59.80, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:53.274, 0, P0, 57, 15, 404, 23034, 60, 59.80, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:53.376, 0, P0, 58, 15, 404, 23034, 60, 59.77, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:53.477, 0, P0, 58, 15, 404, 23034, 60, 59.68, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:53.579, 0, P0, 57, 15, 404, 23034, 60, 59.69, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:53.681, 0, P0, 57, 15, 404, 23034, 60, 59.75, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:53.783, 0, P0, 57, 15, 404, 23034, 60, 59.75, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:53.884, 0, P0, 57, 15, 404, 23034, 60, 59.80, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 12:55:53.986, 0, P0, 58, 15, 404, 23034, 60, 59.73, 72.00, 2040, 6251, 2040, 0x0000000000000000
