timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/20 15:09:41.371, 0, P0, 0, 0, 0, 23034, 67, 33.06, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:41.477, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:41.579, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:41.681, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:41.783, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:41.885, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:41.987, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:42.089, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:42.191, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:42.293, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:42.395, 0, P0, 0, 0, 0, 23034, 66, 24.24, 72.00, 390, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:42.497, 0, P0, 0, 0, 0, 23034, 66, 23.28, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:42.599, 0, P0, 0, 0, 0, 23034, 66, 23.28, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:42.701, 0, P0, 0, 0, 0, 23034, 66, 23.28, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:42.803, 0, P0, 0, 0, 0, 23034, 66, 23.28, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:42.905, 0, P0, 0, 0, 0, 23034, 66, 23.28, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:43.007, 0, P0, 0, 0, 0, 23034, 66, 23.28, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:43.136, 0, P0, 0, 0, 0, 23034, 66, 23.28, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:43.238, 0, P0, 0, 0, 0, 23034, 66, 23.28, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:43.340, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:43.442, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:43.544, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:43.646, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:43.748, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
