timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/20 15:09:24.228, 0, P0, 0, 0, 0, 23034, 68, 24.24, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:24.334, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 405, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:24.436, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 405, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:24.538, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 405, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:24.640, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 405, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:24.742, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 405, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:24.844, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 405, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:24.946, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 405, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:25.048, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 405, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:25.150, 0, P0, 0, 0, 0, 23034, 67, 24.24, 72.00, 405, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:25.252, 0, P0, 0, 0, 0, 23034, 67, 23.28, 72.00, 405, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:25.354, 0, P0, 0, 0, 0, 23034, 67, 23.28, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:25.456, 0, P0, 0, 0, 0, 23034, 67, 23.28, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:25.558, 0, P0, 0, 0, 0, 23034, 67, 23.28, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:25.660, 0, P0, 0, 0, 0, 23034, 67, 23.28, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:25.762, 0, P0, 0, 0, 0, 23034, 67, 23.28, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:25.864, 0, P0, 0, 0, 0, 23034, 67, 23.28, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:25.966, 0, P0, 0, 0, 0, 23034, 67, 23.28, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:26.068, 0, P0, 0, 0, 0, 23034, 67, 23.28, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:26.170, 0, P0, 0, 0, 0, 23034, 67, 23.18, 72.00, 255, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:26.272, 0, P0, 0, 0, 0, 23034, 66, 23.18, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:26.374, 0, P0, 0, 0, 0, 23034, 66, 23.18, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:26.476, 0, P0, 0, 0, 0, 23034, 66, 23.18, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:26.578, 0, P0, 0, 0, 0, 23034, 66, 23.18, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:26.680, 0, P0, 0, 0, 0, 23034, 66, 23.18, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:26.782, 0, P0, 0, 0, 0, 23034, 66, 23.18, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:26.884, 0, P0, 0, 0, 0, 23034, 66, 23.18, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:26.986, 0, P0, 0, 0, 0, 23034, 66, 23.18, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:27.088, 0, P0, 0, 0, 0, 23034, 66, 23.18, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:27.190, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:27.292, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:27.394, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:27.496, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:27.598, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:27.700, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:27.802, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:27.904, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:28.006, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:28.108, 0, P0, 0, 0, 0, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:28.210, 0, P0, 0, 0, 0, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:28.312, 0, P0, 0, 0, 1, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:28.416, 0, P0, 0, 0, 3, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:28.518, 0, P0, 0, 0, 3, 23034, 66, 23.13, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:28.621, 0, P0, 0, 0, 3, 23034, 66, 23.12, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:28.723, 0, P0, 0, 0, 3, 23034, 66, 23.12, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:28.825, 0, P0, 0, 0, 3, 23034, 66, 23.12, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:28.927, 0, P0, 0, 0, 3, 23034, 66, 23.12, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:29.029, 0, P0, 0, 0, 3, 23034, 66, 23.12, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:29.131, 0, P0, 0, 0, 3, 23034, 66, 23.11, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:29.233, 0, P0, 0, 0, 3, 23034, 66, 23.11, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:29.335, 0, P0, 0, 0, 3, 23034, 66, 23.14, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:29.437, 0, P0, 0, 0, 3, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:29.539, 0, P0, 0, 0, 3, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:29.641, 0, P0, 0, 0, 3, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:29.743, 0, P0, 0, 0, 3, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:29.845, 0, P0, 0, 0, 3, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:29.947, 0, P0, 0, 0, 3, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:30.049, 0, P0, 0, 0, 3, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:30.151, 0, P0, 0, 0, 3, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:30.253, 0, P0, 0, 0, 3, 23034, 66, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:30.355, 0, P0, 0, 0, 3, 23034, 65, 23.08, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:30.457, 0, P0, 0, 0, 3, 23034, 65, 22.99, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:30.559, 0, P8, 0, 0, 3, 23034, 65, 22.99, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:30.661, 0, P8, 0, 0, 18, 23034, 65, 22.99, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/20 15:09:30.764, 0, P0, 0, 0, 312, 23034, 66, 23.86, 72.00, 2010, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:30.865, 0, P0, 6, 0, 320, 23034, 66, 24.54, 72.00, 2025, 6251, 2040, 0x0000000000000004
2026/09/20 15:09:30.966, 0, P0, 6, 0, 350, 23034, 66, 25.02, 72.00, 2025, 6251, 2040, 0x0000000000000004
2026/09/20 15:09:31.068, 0, P0, 3, 0, 370, 23034, 66, 25.62, 72.00, 2040, 6251, 2040, 0x0000000000000004
2026/09/20 15:09:31.169, 0, P0, 3, 0, 350, 23034, 67, 26.16, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:31.271, 0, P0, 83, 21, 348, 23034, 67, 27.61, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:31.373, 0, P0, 83, 21, 386, 23034, 68, 28.84, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:31.474, 0, P0, 100, 31, 386, 23034, 68, 29.51, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:31.576, 0, P0, 100, 31, 386, 23034, 69, 38.25, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:31.678, 0, P0, 52, 14, 386, 23034, 69, 40.10, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:31.780, 0, P0, 52, 14, 386, 23034, 69, 46.06, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:31.882, 0, P0, 52, 14, 386, 23034, 69, 47.50, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:31.984, 0, P0, 52, 14, 386, 23034, 69, 49.91, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:32.085, 0, P0, 52, 14, 386, 23034, 70, 52.52, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:32.187, 0, P0, 52, 14, 386, 23034, 70, 54.88, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:32.289, 0, P0, 51, 14, 386, 23034, 70, 57.15, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:32.390, 0, P0, 51, 14, 386, 23034, 70, 57.90, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:32.492, 0, P0, 52, 14, 386, 23034, 70, 58.78, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:32.594, 0, P0, 52, 14, 386, 23034, 70, 60.36, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:32.695, 0, P0, 52, 14, 386, 23034, 70, 60.39, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:32.798, 0, P0, 52, 14, 386, 23034, 70, 60.36, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:32.900, 0, P0, 53, 15, 386, 23034, 70, 60.44, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:33.002, 0, P0, 53, 15, 386, 23034, 70, 60.36, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:33.103, 0, P0, 52, 14, 386, 23034, 70, 60.31, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:33.205, 0, P0, 52, 14, 386, 23034, 70, 60.24, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:33.307, 0, P0, 53, 14, 386, 23034, 70, 60.43, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:33.409, 0, P0, 52, 14, 386, 23034, 70, 60.64, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:33.510, 0, P0, 52, 14, 386, 23034, 70, 60.67, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:33.612, 0, P0, 53, 15, 386, 23034, 70, 60.71, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:33.714, 0, P0, 53, 15, 386, 23034, 70, 60.71, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:33.815, 0, P0, 52, 14, 386, 23034, 70, 60.79, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:33.918, 0, P0, 52, 14, 386, 23034, 70, 60.77, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:34.019, 0, P0, 52, 14, 386, 23034, 70, 60.83, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:34.121, 0, P0, 52, 14, 386, 23034, 70, 60.88, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:34.223, 0, P0, 52, 14, 386, 23034, 70, 60.90, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:34.325, 0, P0, 52, 14, 386, 23034, 70, 60.76, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:34.426, 0, P0, 51, 14, 386, 23034, 71, 60.74, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:34.528, 0, P0, 51, 14, 386, 23034, 71, 60.71, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:34.630, 0, P0, 52, 14, 386, 23034, 71, 60.77, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:34.732, 0, P0, 52, 14, 386, 23034, 71, 60.93, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:34.834, 0, P0, 51, 14, 386, 23034, 71, 61.02, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:34.936, 0, P0, 51, 14, 386, 23034, 71, 60.93, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:35.038, 0, P0, 52, 14, 386, 23034, 71, 60.92, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:35.140, 0, P0, 52, 14, 386, 23034, 71, 60.90, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:35.242, 0, P0, 52, 14, 386, 23034, 71, 60.89, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:35.343, 0, P0, 52, 14, 386, 23034, 71, 60.94, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:35.445, 0, P0, 52, 14, 386, 23034, 71, 60.93, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:35.547, 0, P0, 52, 14, 386, 23034, 71, 60.90, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:35.648, 0, P0, 51, 14, 386, 23034, 71, 61.06, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:35.750, 0, P0, 51, 14, 386, 23034, 71, 61.08, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:35.852, 0, P0, 52, 14, 386, 23034, 71, 60.96, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:35.954, 0, P0, 52, 14, 386, 23034, 71, 60.90, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:36.056, 0, P0, 52, 15, 386, 23034, 71, 60.94, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:36.158, 0, P0, 52, 15, 386, 23034, 71, 60.95, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:36.259, 0, P0, 52, 14, 386, 23034, 71, 60.97, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:36.361, 0, P0, 52, 14, 386, 23034, 71, 61.10, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:36.463, 0, P0, 51, 14, 386, 23034, 71, 61.10, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:36.564, 0, P0, 51, 14, 386, 23034, 71, 61.01, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:36.666, 0, P0, 52, 14, 386, 23034, 71, 60.99, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:36.768, 0, P0, 52, 14, 386, 23034, 71, 60.86, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:36.870, 0, P0, 51, 14, 386, 23034, 71, 60.85, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:36.971, 0, P0, 51, 14, 386, 23034, 71, 60.79, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:37.073, 0, P0, 52, 14, 386, 23034, 71, 60.74, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:37.175, 0, P0, 52, 14, 386, 23034, 71, 60.77, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:37.277, 0, P0, 51, 14, 386, 23034, 71, 60.89, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:37.379, 0, P0, 51, 14, 386, 23034, 71, 60.97, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:37.481, 0, P0, 52, 14, 386, 23034, 71, 61.06, 72.00, 2040, 6251, 2040, 0x0000000000000000
2026/09/20 15:09:37.582, 0, P0, 52, 14, 386, 23034, 71, 61.07, 72.00, 2040, 6251, 2040, 0x0000000000000000
