timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], enforced.power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.max.sm [MHz], clocks_event_reasons.active
2026/09/22 10:11:48.518, 0, P0, 0, 0, 0, 23034, 57, 22.83, 72.00, 2040, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:48.624, 0, P0, 0, 0, 0, 23034, 57, 22.83, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:48.726, 0, P0, 0, 0, 0, 23034, 57, 22.83, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:48.828, 0, P0, 0, 0, 0, 23034, 57, 22.83, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:48.930, 0, P0, 0, 0, 0, 23034, 57, 22.83, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:49.032, 0, P0, 0, 0, 0, 23034, 57, 22.83, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:49.134, 0, P0, 0, 0, 0, 23034, 57, 22.83, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:49.236, 0, P0, 0, 0, 0, 23034, 57, 22.83, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:49.338, 0, P0, 0, 0, 0, 23034, 57, 22.83, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:49.440, 0, P0, 0, 0, 0, 23034, 57, 22.83, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:49.542, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 375, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:49.644, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:49.746, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:49.848, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:49.950, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:50.052, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:50.154, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:50.256, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:50.358, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:50.460, 0, P0, 0, 0, 0, 23034, 57, 21.99, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:50.562, 0, P0, 0, 0, 0, 23034, 56, 21.89, 72.00, 240, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:50.664, 0, P0, 0, 0, 0, 23034, 56, 21.89, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:50.766, 0, P0, 0, 0, 0, 23034, 56, 21.89, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:50.868, 0, P0, 0, 0, 0, 23034, 56, 21.89, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:50.970, 0, P0, 0, 0, 0, 23034, 56, 21.89, 72.00, 210, 6251, 2040, 0x0000000000000001
2026/09/22 10:11:51.072, 0, P0, 0, 0, 0, 23034, 56, 21.89, 72.00, 210, 6251, 2040, 0x0000000000000001
